,DCFS-BTM_bin.3.s,UT12-BTM_bin.10.o,UT12-BTM_bin.14.s,UT12-BTM_bin.9.s,UT19-BTM_bin.1.p,WLLO-BTM_bin.1.o,WLLO-BTM_bin.14.s,WLUP-BTM_bin.10.s,WLUP-BTM_bin.13.s,WLUP-BTM_bin.9.o,CLBJ-BTM_bin.2.o,DELA-BTM_bin.5.s,TEAK-BTM_bin.1.o,TEAK-BTM_bin.9.s,KONZ-TOP_bin.5.s,KONZ-TOP_bin.6.o,KONZ-TOP_bin.7.p,NWBC-TOP_bin.4.o,ORNL-TOP_bin.2.p,OCTU-TOP_bin.16.o,OCTU-TOP_bin.25.o,OCTU-TOP_bin.9.o,OSBS-TOP_bin.2.o,PPRH-TOP_bin.21.o
gly-pro-L_e0,2.00194,0.0,0.0,0.0,0.0,1.5553,0.0,8.13757,2.48104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.53158,0.0,0.0,0.0,2.71767,1.9611,0.0
Folate_e0,0.100875,0.0828223,0.0811727,0.131741,0.0796704,0.0783696,0.0393386,0.410042,0.125016,0.107472,0.0463648,0.0898071,0.0760056,0.0945926,0.105625,0.105964,0.0335634,0.177952,0.219451,0.118449,0.072187,0.13694,0.0988176,0.125582
AMP_e0,1.23004,1.00991,1.01685,1.60642,0.998034,1.09077,0.492796,4.99993,1.52441,0.0,0.580813,1.09508,0.952126,0.0,1.32317,1.47485,0.0,0.0,2.67593,1.48381,0.90429,0.0,1.17201,1.53132
Palmitate_e0,1.74096,0.0,0.0,2.02032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37723,1.31175,1.45062,0,0,0,0,0,2.04426,0.0,0.0,0.0,2.16738
Putrescine_e0,0.033625,0.0276074,0.0270576,0.0439138,0.0,0.0261232,0.0131129,0.136681,0.0416722,0.0358239,0.0,0.0299357,0.0,0.0315309,0.0352083,0.0353215,0.0111878,0.0593173,0.0731505,0.0,0.0240623,0.0456467,0.0329392,0.0418608
gly-asn-L_e0,0.506488,3.58113,1.7549,0.304009,3.71982,1.64352,0.711067,8.86484,2.70277,0.0,0.0,0.0,1.64319,0.0,0.0,2.23288,0.0,3.8472,4.7444,0.0,0.0,0.0,2.13637,2.8614
TTP_e0,0.173971,0.0,0.0,0.227204,0.137401,0.0,0.120295,1.41433,0.431211,0.221172,0.0799615,0.184819,0.131081,0.0,0.182163,0.0,0.0578841,0.306899,0.37847,0.204279,0.124495,0.236169,0.0180396,0.433164
UMP_e0,0.986357,0.0,0.0,2.48092,0.779019,1.61099,0.740814,0.0,1.22241,1.05086,0.453355,0.0,1.43132,0.0,1.0328,0.0,0.328184,0.0,0.0,2.23059,0.0,0.0,0.96624,2.36494
Cl-_e0,0.033625,0.0276074,0.0270576,0.0439138,0.0265568,0.0261232,0.0131129,0.136681,0.0416722,0.0358239,0.0154549,0.0299357,0.0253352,0.0315309,0.0352083,0.0353215,0.0111878,0.0593173,0.0731505,0.0394829,0.0240623,0.0456467,0.0329392,0.0418608
Biomass_c0,-10.8592,-8.91579,-8.7382,-14.1819,-8.57649,-8.43645,-4.23478,-44.1408,-13.458,-11.5693,-4.99115,-9.6677,-8.18197,-10.1828,-11.3705,-11.407,-3.61309,-19.1564,-23.6238,-12.7509,-7.7709,-14.7415,-10.6377,-13.5189
NH3_e0,0.0,2.96985,-107.23,-100.181,0.0,-4.75241,0.0,-324.129,0.0,1.23888,0.0,-148.795,5.02238,0.0,5.86592,-2.99594,0.0,0.0,-177.059,-0.0394829,0.0,0.0,0.0,-89.6151
Sulfate_e0,0.0,0.0276074,0.0270576,0.0439138,0.0265568,0.0261232,0.0131129,0.136681,0.0416722,0.0358239,0.0154549,0.0299357,0.0253352,0.0315309,0.0,0.0353215,0.0111878,0.0593173,0.0731505,0.0394829,0.0240623,0.0456467,0.0329392,0.0418608
Xylose_e0,0.0,0.0,0.0,0.0,0.0,4.83392,0.0,-476.231,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
L-alanylglycine_e0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ala-L-Thr-L_e0,0.0,0.0,0.0,2.99341,0.0,0.0,0.299784,9.31693,2.84061,2.44196,0.0,0.0,0.0,0.0,0.0,2.40771,0.0,4.0434,4.98635,0.0,0.0,3.11154,0.0,0.0
ala-L-glu-L_e0,0.0,0.0,0.0,0.0,0.0,2.31272,1.62592,31.3349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0489171,0.0,0.0,0.0,0.0,0.0,1.56376,0.0
Cys-Gly_e0,0.0,0.0,0.692441,1.12382,0.0,0.0261232,0.0,3.49785,0.0416722,0.0,0.0,0.766097,0.0,0.0,0.0,0.0353215,0.0,0.0593173,1.79887,0.0,0.0,0.0,0.0329392,0.0
Gly-Cys_e0,0.0,0.678906,0.0,0.0,0.0,0.642406,0.0,0.0,1.02478,0.0,0.0,0.0,0.0,0.0,0.0,0.868605,0.0,1.4587,0.0,0.0,0.0,0.0,0.810022,0.0
Phenylpropanoate_e0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-Adenosyl-4-methylthio-2-oxobutanoate_c0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thyminose_e0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
Arsenate_e0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
BET_e0,0.0,0.0368099,0.0,0.0439138,0.0265568,0.0,0.0,0.0,0.0,0.0358239,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0418608
L-Proline_e0,0.0,1.64367,1.61093,2.6145,3.28578,0.0,0.780702,0.0,0.0,5.65016,0.0,1.78229,0.0,1.87726,2.0962,2.10294,0.66609,0.0,4.35517,2.3507,1.4326,0.0,0.0,2.49227
Ala-Leu_e0,0.0,3.77764,4.02458,0.0,0.0,3.8856,1.95043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.533026,0.0,0.0,0.0,0.0,5.53381,1.60436,5.72799
gly-asp-L_e0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.46399,0.829145,0.0,0.0,0.0,0.0,0.0,0.332534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06397,0.0
